,listing__statPrice,product-subtitle,Model,Box,Papers,Age,Movement,ConditionGrade,CaseSize,Case,Dial,Bracelet,LOT,Location,Seller
458,11365.763500000001,Submariner,114060,Yes,Yes,2020,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#001839,"Edinburgh,UnitedKingdom",
459,7492.7880000000005,OysterPerpetual36,126000,Yes,Yes,2020,automatic,AA,36mm,StainlessSteel,SilverBaton,StainlessSteelOyster,#001835,"London,UnitedKingdom",
460,36839.541000000005,Daytona,116509,Yes,Yes,2010,automatic,A,40mm,WhiteGold,BlackArabicNumeral,WhiteGoldOyster,#001834,"Dundee,Angus,UnitedKingdom",
461,10365.0234,Milgauss,116400GV,Yes,Yes,2021,automatic,A,40mm,StainlessSteel,IntenseBlackBaton,StainlessSteelOyster,#001833,"Norwich,Norfolk,UnitedKingdom",
462,6743.5092,Lady-Datejust,279160,Yes,Yes,2022,automatic,AAA,28mm,StainlessSteel,PinkRomanNumeral,StainlessSteelOyster,#001831,"Scarborough,NorthYorkshire,UnitedKingdom",
463,7627.7633000000005,OysterPerpetual31,277200,Yes,Yes,2020,automatic,AA,31mm,StainlessSteel,GreenBaton,StainlessSteelOyster,#001830,"Enfield,London,UnitedKingdom",
464,17818.95525,Submariner,126610LN,Yes,Yes,2022,automatic,AA,41mm,StainlessSteel,Black,StainlessSteelOyster,#001827,"Scarborough,NorthYorkshire,UnitedKingdom",
465,100036.24,Daytona,116508,Yes,Yes,2017,automatic,A,40mm,YellowGold,GreenBaton,YellowGoldOyster,#001826,"Wymondham,Norfolk,UnitedKingdom",
466,27347.3625,GMT-MasterII,126711CHNR,Yes,Yes,2020,automatic,AAA,40mm,StainlessSteelandRoseGold,Black,SteelandRoseGoldOyster,#001819,"Ilkley,WestYorkshire,UnitedKingdom",
467,10120.1863,Datejust36,126200,Yes,Yes,2021,automatic,AAA,36mm,StainlessSteel,SlateRomanNumeral,StainlessSteelJubilee,#001814,"TunbridgeWells,Kent,UnitedKingdom",
468,15577.875,Day-Date,18038,Yes,Yes,2002,automatic,A,36mm,YellowGold,ChampagneBaton,YellowGoldPresident,#001810,"London,UnitedKingdom",
469,20438.172,Submariner,16610LV,Yes,Yes,2006,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#001809,"Fulham,London,UnitedKingdom",
470,21306.3708,Yacht-MasterII,116681,Yes,Yes,2015,automatic,A,44mm,StainlessSteelandRoseGold,White,SteelandRoseGoldOyster,#001795,"Audlem,Cheshire,UnitedKingdom",
471,53581.11,Daytona,116509,Yes,Yes,2022,automatic,AAA,40mm,WhiteGold,SteelBaton,WhiteGoldOyster,#001797,"Ipswich,Suffolk,UnitedKingdom",
472,14498.418,Datejust36,126233,Yes,Yes,2021,automatic,AAA,36mm,StainlessSteelandYellowGold,GreenwithDiamondRomanNumeral,SteelandYellowGoldJubilee,#001796,"Ilkley,NorthYorkshire,UnitedKingdom",
473,4536.19535,OysterPerpetualDate,15200,Yes,Yes,2002,automatic,A,34mm,StainlessSteel,SalmonArabicNumeral,StainlessSteelOyster,#001782,"London,UnitedKingdom",
474,32480.2412,Yacht-Master42,226659,Yes,Yes,2021,automatic,A,42mm,WhiteGold,Black,BlackOysterflex,#,"Norfolk,UnitedKingdom",
475,3258.8574999999996,Datejust,69173,Yes,Yes,1985,automatic,A,26mm,StainlessSteelandYellowGold,ChampagneDiamond,SteelandYellowGoldJubilee,#001776,"Harrogate,NorthYorkshire,UnitedKingdom",
476,42843.33,OysterPerpetual41,124300,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,Turquoise,StainlessSteelOyster,#001760,"London,UnitedKingdom",
